What year group are you,What region are you from???,Were you the only one from your school?,What size is your friend group,"If you had your 10 closest friends, who would come from central coast","If you had your 10 closest friends, who would come from Sydney/South","If you had your ten closest friends, who would come from the north?"
Year 9,North Sydney,I knew people,7,7,1,2
Year 9,Hunter Valley,I knew people,4,3,6,5
Year 9,Central Coast,I knew people,4,1,8,1
Year 9,North Sydney,I knew people,6,4,1,8
Year 9,Central Coast,Yeah i was lonely day 1 year 7,10,1,9,1
Year 9,Central Coast,Yeah i was lonely day 1 year 7,3,6,4,1
Year 9,North Sydney,I knew people,10,8,2,1
Year 9,Central Coast,I knew people,10,5,5,5
Year 9,Central Coast,i dont remember that was ages ago,10,6,4,1
Year 9,Central Coast,I knew people,6,7,3,3
Year 9,Central Coast,I knew people,5,3,6,1
Year 10,Central Coast,I knew people,10,7,3,1
Year 10,Hunter Valley,I knew people,6,6,1,1
Year 10,Central Coast,I knew people,10,5,5,1
Year 10,North Sydney,I knew people,7,2,3,2
Year 9,South Sydney or more South,Yeah i was lonely day 1 year 7,1,4,4,2
Year 10,North Sydney,I knew people,5,3,7,3
Year 9,Central Coast,Yeah i was lonely day 1 year 7,10,3,7,2
Year 10,North Sydney,I knew people,7,2,5,1
Year 9,South Sydney or more South,I knew people,3,4,6,4
Year 9,Central Coast,I knew people,9,4,6,4
Year 10,Central Coast,Yeah i was lonely day 1 year 7,3,2,1,1
Year 10,North Sydney,I knew people,6,2,8,1
Year 10,North Sydney,Yeah i was lonely day 1 year 7,3,3,5,1
Year 10,Central Coast,I knew people,10,1,7,7
Year 10,North Sydney,I knew people,10,8,2,8
Year 9,Central Coast,Yeah i was lonely day 1 year 7,6,6,3,1
Year 10,Central Coast,Yeah i was lonely day 1 year 7,4,4,6,1
Year 10,Central Coast,Yeah i was lonely day 1 year 7,6,7,3,1
Year 10,North Sydney,I knew people,10,1,10,1
Year 10,Central Coast,I knew people,5,1,10,1
Year 10,Hunter Valley,Yeah i was lonely day 1 year 7,10,5,3,1
Year 10,Central Sydney,I knew people,8,2,6,1
Year 10,Central Sydney,I knew people,8,2,6,6
Year 9,Central Coast,I knew people,10,4,5,1
Year 9,North Sydney,I knew people,5,2,8,1
Year 9,South Sydney or more South,Yeah i was lonely day 1 year 7,7,2,4,2
Year 10,Central Coast,I knew people,6,6,4,1
Year 10,Central Coast,I knew people,10,4,5,1
Year 9,Central Coast,I knew people,10,6,3,1
Year 10,Central Coast,I knew people,5,5,3,2
Year 10,North Sydney,I knew people,10,1,10,1
Year 10,Central Coast,I knew people,6,8,1,1
Year 9,North Sydney,Yeah i was lonely day 1 year 7,10,6,6,6
Year 9,North Sydney,I knew people,10,1,5,5
Year 10,North Sydney,Yeah i was lonely day 1 year 7,10,2,8,1
Year 9,Central Coast,I knew people,10,7,3,1
Year 10,North Sydney,I knew people,10,10,1,1
Year 9,North Sydney,I knew people,6,1,9,10
Year 9,Central Coast,Yeah i was lonely day 1 year 7,10,6,4,1
Year 10,North Sydney,I knew people,10,2,8,1
Year 10,North Sydney,I knew people,4,6,4,1
Year 9,Central Coast,Yeah i was lonely day 1 year 7,10,3,7,1
Year 9,Central Coast,I knew people,10,1,10,1
Year 10,Central Coast,Yeah i was lonely day 1 year 7,10,9,1,9
Year 9,Central Coast,Yeah i was lonely day 1 year 7,10,3,8,2
Year 10,Central Coast,I knew people,10,8,2,8
Year 9,North Sydney,I knew people,8,6,5,6
Year 9,Central Coast,I knew people,8,6,2,1
Year 9,North Sydney,I knew people,4,2,3,1
Year 10,South Sydney or more South,I knew people,6,5,5,5
Year 9,Central Coast,I knew people,10,3,6,1
Year 9,North Sydney,I knew people,10,4,4,2